Data,Model,Type,train_size,seed,best_ll,ground_ll,THD,node_types,edges,SHD,Recall,Precision
G5,LG,Fixed,1000,137,-4281.416081647348,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,1000,147,-4273.936599151529,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,1000,157,-4281.945549458741,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,1000,167,-4280.104253194597,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,1000,177,-4310.600776190524,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,1000,187,-4284.9540878033895,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,1000,197,-4274.794325944621,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,7,-4268.1539043278335,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,17,-4264.377364714532,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,27,-4267.477821350146,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
